"filename", "language", "TypeScript", "JSON", "JSON with Comments", "JavaScript", "TypeScript JSX", "PostCSS", "XML", "YAML", "comment", "blank", "total"
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/slider.tsx", "TypeScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 0, 5, 31
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/sonner.tsx", "TypeScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 0, 6, 32
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/switch.tsx", "TypeScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 0, 5, 30
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/table.tsx", "TypeScript JSX", 0, 0, 0, 0, 107, 0, 0, 0, 0, 11, 118
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 48, 0, 0, 0, 0, 8, 56
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 0, 5, 25
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/toast.tsx", "TypeScript JSX", 0, 0, 0, 0, 116, 0, 0, 0, 0, 14, 130
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/toaster.tsx", "TypeScript JSX", 0, 0, 0, 0, 32, 0, 0, 0, 0, 4, 36
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/toggle-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 52, 0, 0, 0, 0, 10, 62
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 39, 0, 0, 0, 0, 7, 46
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 0, 8, 31
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/use-mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 0, 5, 20
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/components/ui/use-toast.ts", "TypeScript", 160, 0, 0, 0, 0, 0, 0, 0, 3, 32, 195
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/hooks/use-mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 3, 8, 25
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/hooks/use-toast.ts", "TypeScript", 160, 0, 0, 0, 0, 0, 0, 0, 3, 32, 195
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/lib/categories.json", "JSON", 0, 143, 0, 0, 0, 0, 0, 0, 0, 1, 144
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/lib/dummy-data.ts", "TypeScript", 265, 0, 0, 0, 0, 0, 0, 0, 11, 15, 291
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/lib/firebase.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 1, 4, 22
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/lib/translations.ts", "TypeScript", 59, 0, 0, 0, 0, 0, 0, 0, 6, 7, 72
